cell,model,dataset,id,q_all5,q_cross_model,n_pairs_with_en_D,n_pairs_without_en_D
deepseek|commonsenseqa,deepseek,commonsenseqa,0,0.6,0.4,2,5
deepseek|commonsenseqa,deepseek,commonsenseqa,1,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,2,0.4,0.3333333333333333,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,3,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,4,1.0,0.8666666666666667,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,5,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,6,0.8,0.8,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,7,0.6,0.5333333333333333,3,3
deepseek|commonsenseqa,deepseek,commonsenseqa,8,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,9,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,10,1.0,0.8,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,11,0.8,0.4666666666666667,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,12,0.6,0.2,2,5
deepseek|commonsenseqa,deepseek,commonsenseqa,13,0.8,0.9333333333333333,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,14,1.0,0.9333333333333333,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,15,1.0,0.9333333333333333,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,16,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,17,0.6,0.5333333333333333,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,18,1.0,0.6666666666666666,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,19,0.2,0.0,4,0
deepseek|commonsenseqa,deepseek,commonsenseqa,20,0.4,0.13333333333333333,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,21,0.2,0.3333333333333333,3,5
deepseek|commonsenseqa,deepseek,commonsenseqa,22,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,23,0.8,0.13333333333333333,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,24,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,25,1.0,0.5333333333333333,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,26,0.4,0.4666666666666667,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,27,0.8,1.0,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,28,1.0,0.8,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,29,1.0,0.8,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,30,0.6,0.9333333333333333,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,31,0.6,0.4666666666666667,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,32,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,33,1.0,0.6,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,34,0.8,0.8,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,35,0.0,0.06666666666666667,1,3
deepseek|commonsenseqa,deepseek,commonsenseqa,36,1.0,1.0,0,0
deepseek|commonsenseqa,deepseek,commonsenseqa,37,0.0,0.13333333333333333,2,4
deepseek|commonsenseqa,deepseek,commonsenseqa,38,1.0,0.5333333333333333,0,0
