cell,model,dataset,pair,has_english,basis,n_runs,n_levels,n_items,q_mean,q_p25,q_median,q_p75
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_japanese,False,all5,5,5,416.0,0.5163461538461539,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_russian,False,all5,5,5,460.0,0.4995652173913044,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_spanish,False,all5,5,5,436.0,0.4899082568807339,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_chinese,True,all5,5,5,405.0,0.4365432098765432,0.2,0.4,0.6
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_japanese,True,all5,5,5,425.0,0.46541176470588236,0.2,0.4,0.6
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_russian,True,all5,5,5,407.0,0.45454545454545453,0.2,0.4,0.6
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_spanish,True,all5,5,5,351.0,0.4495726495726496,0.2,0.4,0.6
deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_russian,False,all5,5,5,479.0,0.5206680584551149,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_spanish,False,all5,5,5,454.0,0.5180616740088105,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,russian_vs_spanish,False,all5,5,5,412.0,0.503883495145631,0.4,0.6,0.8
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_japanese,False,loo,3,4,416.0,0.5977564102564448,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_russian,False,loo,3,4,460.0,0.5666666666666978,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_spanish,False,loo,3,4,436.0,0.5542813455657684,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_chinese,True,loo,3,4,405.0,0.4576131687242691,0.0,0.333333333333,0.666666666667
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_japanese,True,loo,3,4,425.0,0.4933333333333342,0.0,0.333333333333,0.666666666667
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_russian,True,loo,3,4,407.0,0.48157248157249877,0.0,0.333333333333,0.666666666667
deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_spanish,True,loo,3,4,351.0,0.47483380816715104,0.0,0.333333333333,0.666666666667
deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_russian,False,loo,3,4,479.0,0.59290187891443,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_spanish,False,loo,3,4,454.0,0.5895741556534735,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,russian_vs_spanish,False,loo,3,4,412.0,0.5711974110032452,0.333333333333,0.666666666667,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_japanese,False,loo_noen,2,5,416.0,0.5625,0.0,0.5,1.0
deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_russian,False,loo_noen,2,5,460.0,0.5184782608695652,0.0,0.5,1.0
