cell,model,dataset,basis,scope,n_levels,with_n_items,with_q_mean,with_q_p25,with_q_median,with_q_p75,without_n_items,without_q_mean,without_q_p25,without_q_median,without_q_p75,d_mean_q,ks_D,ks_p_scipy,perm_p_d_mean_q,perm_p_ks
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,per_pair,5,1588.0,0.45176322418136017,0.2,0.4,0.6,2657.0,0.5082423786225067,0.4,0.6,0.8,-0.056479154441146484,0.10924211412465906,,0.0053994600539946005,0.0053994600539946005
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,union,5,785.0,0.5169426751592356,0.4,0.6,0.8,737.0,0.5264586160108549,0.4,0.6,0.8,-0.00951594085161922,0.027157783750615783,0.9316664714426657,,
deepseek|commonsenseqa,deepseek,commonsenseqa,loo,per_pair,4,1588.0,0.47712006717044897,0.0,0.333333333333,0.666666666667,2657.0,0.5788483251787968,0.333333333333,0.666666666667,1.0,-0.10172825800834784,0.12145096503793512,,0.0057994200579942,0.0057994200579942
deepseek|commonsenseqa,deepseek,commonsenseqa,loo_noen,per_pair,5,1588.0,0.47712006717044897,0.0,0.333333333333,0.666666666667,2657.0,0.5318027850959729,0.0,0.5,1.0,-0.05468271792552393,0.2253275175407578,,0.004299570042995701,0.004299570042995701
deepseek|commonsenseqa,deepseek,commonsenseqa,cross_model,per_pair,16,1588.0,0.4439126784215044,0.2,0.4,0.666666666667,2657.0,0.49461799021453745,0.266666666667,0.466666666667,0.733333333333,-0.05070531179303306,0.08328198219806243,,0.0046995300469953,0.0046995300469953
deepseek|commonsenseqa,deepseek,commonsenseqa,cross_model,union,16,785.0,0.4931634819532981,0.266666666667,0.466666666667,0.733333333333,737.0,0.5048394391678059,0.266666666667,0.533333333333,0.733333333333,-0.011675957214507815,0.019192975481596042,0.9983877278336138,,
deepseek|mathqa,deepseek,mathqa,all5,per_pair,5,407.0,0.42113022113022114,0.2,0.4,0.8,578.0,0.4197231833910035,0.2,0.4,0.8,0.0014070377392176314,0.014584732577812176,,0.8663133686631337,0.6977302269773022
deepseek|mathqa,deepseek,mathqa,all5,union,5,185.0,0.4562162162162162,0.2,0.4,0.8,161.0,0.4472049689440994,0.2,0.4,0.8,0.009011247272116829,0.034581165015947546,0.9997973837437113,,
deepseek|mathqa,deepseek,mathqa,loo,per_pair,4,407.0,0.46191646191645946,0.0,0.333333333333,1.0,578.0,0.46136101499422316,0.0,0.333333333333,1.0,0.0005554469222363023,0.011524106679816015,,0.9585041495850415,0.808019198080192
deepseek|mathqa,deepseek,mathqa,loo_noen,per_pair,5,407.0,0.46191646191645946,0.0,0.333333333333,1.0,578.0,0.4688581314878893,0.0,0.5,1.0,-0.0069416695714298315,0.14088656130178623,,0.5078492150784921,0.0052994700529947
deepseek|mathqa,deepseek,mathqa,cross_model,per_pair,16,407.0,0.3118755118755479,0.133333333333,0.266666666667,0.466666666667,578.0,0.33414071510960897,0.066666666667,0.266666666667,0.533333333333,-0.02226520323406106,0.07605655356520402,,0.14928507149285072,0.023397660233976603
deepseek|mathqa,deepseek,mathqa,cross_model,union,16,185.0,0.3549549549549892,0.133333333333,0.266666666667,0.533333333333,161.0,0.3519668737060373,0.066666666667,0.266666666667,0.533333333333,0.0029880812489518904,0.027631358066140643,0.9999989196423322,,
deepseek|mmlu,deepseek,mmlu,all5,per_pair,5,623.0,0.4914927768860353,0.2,0.6,0.8,1032.0,0.5333333333333333,0.4,0.6,0.8,-0.041840556447298005,0.07949780382495303,,0.0044995500449955,0.022897710228977103
deepseek|mmlu,deepseek,mmlu,all5,union,5,325.0,0.5446153846153846,0.4,0.6,0.8,299.0,0.5498327759197325,0.4,0.6,0.8,-0.00521739130434784,0.023411371237458206,0.9999812213092196,,
deepseek|mmlu,deepseek,mmlu,loo,per_pair,4,623.0,0.5350454788657175,0.333333333333,0.666666666667,1.0,1032.0,0.6036821705426647,0.333333333333,0.666666666667,1.0,-0.06863669167694719,0.08379527666828424,,0.005699430056994301,0.021997800219978002
deepseek|mmlu,deepseek,mmlu,loo_noen,per_pair,5,623.0,0.5350454788657175,0.333333333333,0.666666666667,1.0,1032.0,0.5780038759689923,0.0,0.5,1.0,-0.04295839710327476,0.18747744721091986,,0.014498550144985502,0.0051994800519948
deepseek|mmlu,deepseek,mmlu,cross_model,per_pair,16,623.0,0.38319957196363885,0.133333333333,0.333333333333,0.6,1032.0,0.4169896640827122,0.133333333333,0.4,0.666666666667,-0.033790092119073356,0.055105018228875036,,0.0038996100389961006,0.0038996100389961006
