Model,Dataset,Language,Accuracy (%)
Gemini,MMLU,English,81.85
Gemini,CommonSenseQA,English,73.65
GPT4o mini,MMLU,English,79.55
GPT4o mini,MathQA,English,77.25
QWEN,MathQA,English,75.55
Gemini,TruthfulQA,English,80.91
QWEN,TruthfulQA,English,75.15
GPT4o mini,CommonSenseQA,English,74.1
Gemini,MathQA,English,82.75
Deepseek,MMLU,English,89.05
Deepseek,TruthfulQA,English,82.37
Deepseek,CommonSenseQA,English,76.1
QWEN,MMLU,English,77.15
Deepseek,MathQA,English,88.25
GPT4o mini,TruthfulQA,English,73.56
QWEN,CommonSenseQA,English,71.9
