cell,rep,pair,l1,l2,L_max,L_min,gap_H1,excess_H2,gap_H2
deepseek|commonsenseqa,0,chinese_vs_japanese,chinese,japanese,chinese,japanese,0.014000000000000012,0.02300000000000002,0.01200000000000001
deepseek|commonsenseqa,0,chinese_vs_russian,chinese,russian,russian,chinese,0.0010000000000000009,0.03600000000000003,-0.0040000000000000036
deepseek|commonsenseqa,0,chinese_vs_spanish,chinese,spanish,spanish,chinese,0.008000000000000007,0.018000000000000016,0.013000000000000012
deepseek|commonsenseqa,0,english_vs_chinese,english,chinese,english,chinese,0.07199999999999995,-0.02299999999999991,0.07999999999999996
deepseek|commonsenseqa,0,english_vs_japanese,english,japanese,english,japanese,0.08599999999999997,-0.017000000000000015,0.09199999999999997
deepseek|commonsenseqa,0,english_vs_russian,english,russian,english,russian,0.07099999999999995,-0.018000000000000016,0.08399999999999996
deepseek|commonsenseqa,0,english_vs_spanish,english,spanish,english,spanish,0.06399999999999995,-0.02199999999999991,0.06699999999999995
deepseek|commonsenseqa,0,japanese_vs_russian,japanese,russian,russian,japanese,0.015000000000000013,0.019000000000000017,0.008000000000000007
deepseek|commonsenseqa,0,japanese_vs_spanish,japanese,spanish,spanish,japanese,0.02200000000000002,0.015000000000000013,0.025000000000000022
deepseek|commonsenseqa,0,russian_vs_spanish,russian,spanish,spanish,russian,0.007000000000000006,0.0020000000000000018,0.017000000000000015
deepseek|commonsenseqa,1,chinese_vs_japanese,chinese,japanese,chinese,japanese,0.027000000000000024,0.019000000000000017,-0.0010000000000000009
deepseek|commonsenseqa,1,chinese_vs_russian,chinese,russian,chinese,russian,0.02100000000000002,0.03200000000000003,-0.018000000000000016
deepseek|commonsenseqa,1,chinese_vs_spanish,chinese,spanish,chinese,spanish,0.0010000000000000009,0.039000000000000035,-0.02200000000000002
deepseek|commonsenseqa,1,english_vs_chinese,english,chinese,english,chinese,0.061999999999999944,-0.027999999999999914,0.08999999999999997
deepseek|commonsenseqa,1,english_vs_japanese,english,japanese,english,japanese,0.08899999999999997,-0.02299999999999991,0.08899999999999997
deepseek|commonsenseqa,1,english_vs_russian,english,russian,english,russian,0.08299999999999996,-0.020999999999999908,0.07199999999999995
deepseek|commonsenseqa,1,english_vs_spanish,english,spanish,english,spanish,0.06299999999999994,-0.028999999999999915,0.06799999999999995
