cell,model,dataset,basis,pair,has_english,anchor,stratum,stratum_id,q_level,N,D,d,c,m,n_A,n_B,w_A,recovery_blind,enough
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,ALL,-1,,2000,416,0.208,0.7884615384615384,0.3942307692307692,177,151,0.5396341463414634,0.0792682926829269,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,0.0000,0,0.0,177,42,0.23728813559322035,0.0,0.0,0,0,,,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,0.2000,1,0.19999999999999998,118,58,0.4915254237288136,0.6724137931034483,0.33620689655172414,16,23,0.41025641025641024,-0.17948717948717952,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,0.4000,2,0.3999999999999999,133,73,0.5488721804511278,0.726027397260274,0.363013698630137,28,25,0.5283018867924528,0.05660377358490565,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,0.6000,3,0.5999999999999999,179,102,0.5698324022346368,0.9313725490196079,0.46568627450980393,52,43,0.5473684210526316,0.09473684210526323,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,0.8000,4,0.7999999999999998,277,141,0.5090252707581228,1.0,0.5,81,60,0.574468085106383,0.14893617021276606,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_japanese,False,chinese,1.0000,5,1.0,1116,0,0.0,,,0,0,,,False
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,ALL,-1,,2000,460,0.23,0.7978260869565217,0.39891304347826084,185,182,0.5040871934604905,0.008174386920980936,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,0.0000,0,0.0,177,50,0.2824858757062147,0.0,0.0,0,0,,,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,0.2000,1,0.19999999999999998,118,57,0.4830508474576271,0.6491228070175439,0.32456140350877194,16,21,0.43243243243243246,-0.1351351351351351,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,0.4000,2,0.3999999999999999,133,96,0.7218045112781954,0.8125,0.40625,33,45,0.4230769230769231,-0.15384615384615385,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,0.6000,3,0.5999999999999999,179,128,0.7150837988826816,0.9609375,0.48046875,67,56,0.5447154471544715,0.08943089430894302,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,0.8000,4,0.7999999999999998,277,129,0.4657039711191336,1.0,0.5,69,60,0.5348837209302325,0.06976744186046502,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_russian,False,chinese,1.0000,5,1.0,1116,0,0.0,,,0,0,,,False
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,ALL,-1,,2000,436,0.218,0.786697247706422,0.393348623853211,182,161,0.5306122448979592,0.061224489795918435,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,0.0000,0,0.0,177,47,0.2655367231638418,0.0,0.0,0,0,,,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,0.2000,1,0.19999999999999998,118,58,0.4915254237288136,0.5,0.25,13,16,0.4482758620689655,-0.10344827586206895,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,0.4000,2,0.3999999999999999,133,94,0.706766917293233,0.8617021276595744,0.4308510638297872,46,35,0.5679012345679012,0.1358024691358024,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,0.6000,3,0.5999999999999999,179,126,0.7039106145251397,0.9682539682539683,0.48412698412698413,63,59,0.5163934426229508,0.032786885245901676,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,0.8000,4,0.7999999999999998,277,111,0.4007220216606498,1.0,0.5,60,51,0.5405405405405406,0.08108108108108114,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,chinese_vs_spanish,False,spanish,1.0000,5,1.0,1116,0,0.0,,,0,0,,,False
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,ALL,-1,,2000,405,0.2025,0.8098765432098766,0.4049382716049383,240,88,0.7317073170731707,0.46341463414634143,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,0.0000,0,0.0,177,50,0.2824858757062147,0.0,0.0,0,0,,,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,0.2000,1,0.19999999999999998,118,78,0.6610169491525424,0.782051282051282,0.391025641025641,45,16,0.7377049180327869,0.47540983606557385,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,0.4000,2,0.3999999999999999,133,101,0.7593984962406015,0.9504950495049505,0.4752475247524752,66,30,0.6875,0.375,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,0.6000,3,0.5999999999999999,179,100,0.5586592178770949,0.95,0.475,69,26,0.7263157894736842,0.4526315789473685,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,0.8000,4,0.7999999999999998,277,76,0.2743682310469314,1.0,0.5,60,16,0.7894736842105263,0.5789473684210527,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_chinese,True,english,1.0000,5,1.0,1116,0,0.0,,,0,0,,,False
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,ALL,-1,,2000,425,0.2125,0.8470588235294118,0.4235294117647059,269,91,0.7472222222222222,0.49444444444444446,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,0.0000,0,0.0,177,39,0.22033898305084745,0.0,0.0,0,0,,,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,0.2000,1,0.19999999999999998,118,83,0.7033898305084746,0.8192771084337349,0.40963855421686746,45,23,0.6617647058823529,0.32352941176470584,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,0.4000,2,0.3999999999999999,133,100,0.7518796992481203,0.93,0.465,66,27,0.7096774193548387,0.4193548387096775,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,0.6000,3,0.5999999999999999,179,106,0.5921787709497207,0.9622641509433962,0.4811320754716981,77,25,0.7549019607843137,0.5098039215686274,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,0.8000,4,0.7999999999999998,277,97,0.35018050541516244,1.0,0.5,81,16,0.8350515463917526,0.6701030927835052,True
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_japanese,True,english,1.0000,5,1.0,1116,0,0.0,,,0,0,,,False
deepseek|commonsenseqa,deepseek,commonsenseqa,all5,english_vs_russian,True,english,ALL,-1,,2000,407,0.2035,0.828009828009828,0.414004914004914,246,91,0.7299703264094956,0.4599406528189911,True
