source,cell,model,dataset,pair,has_english,N,D,d,c,m,anchor,anchor_rate,n_A_H2,n_B_H2,w_A_H2,recovery_blind_H2,recovery_H2,skill_H2,reps_undefined,reps_skill_undefined
current,deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_japanese,False,2000,416,0.208,0.7884615384615384,0.3942307692307692,chinese,0.885,86.005,79.415,0.5200333499582647,0.04006669991652931,0.2709306223004999,0.2337782385009616,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_russian,False,2000,460,0.23,0.7978260869565217,0.39891304347826084,chinese,0.515,88.24,95.39,0.4805450971540607,-0.03890980569187848,0.2848440261740609,0.3110386693062295,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,chinese_vs_spanish,False,2000,436,0.218,0.786697247706422,0.393348623853211,spanish,0.88,88.265,83.62,0.5136392916417306,0.02727858328346138,0.2684120371446241,0.2433838598391405,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_chinese,True,2000,405,0.2025,0.8098765432098766,0.4049382716049383,english,1.0,119.875,43.93,0.731891231245718,0.4637824624914358,0.22486828276439502,-0.45527507537132544,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_japanese,True,2000,425,0.2125,0.8470588235294118,0.4235294117647059,english,1.0,134.945,45.58,0.7475399252197045,0.4950798504394087,0.3305039216069276,-0.3342291334739049,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_russian,True,2000,407,0.2035,0.828009828009828,0.414004914004914,english,1.0,123.005,44.99,0.7321846382331845,0.4643692764663689,0.2624416352424121,-0.3851760124446809,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,english_vs_spanish,True,2000,351,0.1755,0.8233618233618234,0.4116809116809117,english,1.0,105.005,39.885,0.72488259891775,0.4497651978355,0.15772608464358895,-0.5433945739187798,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_russian,False,2000,479,0.2395,0.824634655532359,0.4123173277661795,russian,0.865,100.145,96.375,0.5094897508209232,0.018979501641846315,0.2729227988413449,0.2547419567865162,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,japanese_vs_spanish,False,2000,454,0.227,0.8215859030837004,0.4107929515418502,spanish,0.99,105.245,82.02,0.5620128275364321,0.12402565507286428,0.33977435072117,0.2434068706534677,0,0
current,deepseek|commonsenseqa,deepseek,commonsenseqa,russian_vs_spanish,False,2000,412,0.206,0.8058252427184466,0.4029126213592233,spanish,0.895,86.015,79.01,0.5214521751132447,0.04290435022648954,0.19869289142327295,0.15670037424347918,0,0
current,deepseek|mathqa,deepseek,mathqa,chinese_vs_japanese,False,2000,96,0.048,0.7708333333333334,0.3854166666666667,chinese,0.67,17.375,19.625,0.4700509227045998,-0.05989815459080038,0.06470257914497278,0.10788074501732296,0,0
current,deepseek|mathqa,deepseek,mathqa,chinese_vs_russian,False,2000,112,0.056,0.7053571428571429,0.35267857142857145,chinese,0.87,20.89,18.7,0.5283393148630082,0.05667862972601632,0.24615697929899497,0.17779029285067602,0,0
current,deepseek|mathqa,deepseek,mathqa,chinese_vs_spanish,False,2000,82,0.041,0.6585365853658537,0.32926829268292684,chinese,0.585,12.135,14.965,0.44715681762118437,-0.10568636475763135,0.2994655916522374,0.3605389648406289,0,0
current,deepseek|mathqa,deepseek,mathqa,english_vs_chinese,True,2000,102,0.051,0.7058823529411765,0.35294117647058826,chinese,0.775,17.415,18.315,0.4881945502728698,-0.02361089945426035,0.39116544507723217,0.39577588734402397,0,0
current,deepseek|mathqa,deepseek,mathqa,english_vs_japanese,True,2000,110,0.055,0.7636363636363637,0.38181818181818183,japanese,0.635,19.265,22.315,0.46297207733351897,-0.07405584533296203,0.3613992167296216,0.4025927883426841,0,0
current,deepseek|mathqa,deepseek,mathqa,english_vs_russian,True,2000,109,0.0545,0.7064220183486238,0.3532110091743119,english,0.715,18.215,20.015,0.4765609709175612,-0.04687805816487756,0.36466923655894734,0.3838444276964646,0,0
current,deepseek|mathqa,deepseek,mathqa,english_vs_spanish,True,2000,86,0.043,0.6976744186046512,0.3488372093023256,spanish,0.74,13.865,15.585,0.4706197829674329,-0.0587604340651342,0.20339391592874964,0.23506168422146345,0,0
current,deepseek|mathqa,deepseek,mathqa,japanese_vs_russian,False,2000,97,0.0485,0.7319587628865979,0.36597938144329895,japanese,0.805,17.385,17.685,0.49550738417458773,-0.008985231650824417,0.30453957648375557,0.2954572229997136,0,0
current,deepseek|mathqa,deepseek,mathqa,japanese_vs_spanish,False,2000,96,0.048,0.7291666666666666,0.3645833333333333,spanish,0.595,15.995,18.795,0.45947436638594996,-0.08105126722810024,0.23002885148241808,0.2836496730433633,0,0
current,deepseek|mathqa,deepseek,mathqa,russian_vs_spanish,False,2000,95,0.0475,0.6842105263157895,0.34210526315789475,spanish,0.885,17.15,15.29,0.5288985398063889,0.057797079612777705,0.16684721487542958,0.09265201367832945,0,0
current,deepseek|mmlu,deepseek,mmlu,chinese_vs_japanese,False,2000,172,0.086,0.872093023255814,0.436046511627907,chinese,0.835,37.84,37.02,0.5055824292455526,0.011164858491105214,0.25580100674478357,0.23709742034464043,0,0
current,deepseek|mmlu,deepseek,mmlu,chinese_vs_russian,False,2000,160,0.08,0.83125,0.415625,chinese,0.865,33.73,32.495,0.5088354125133017,0.0176708250266034,0.3306228793009061,0.30848529195722185,0,0
current,deepseek|mmlu,deepseek,mmlu,chinese_vs_spanish,False,2000,177,0.0885,0.8700564971751412,0.4350282485875706,spanish,0.81,38.745,38.715,0.49994316600393746,-0.00011366799212511158,0.290005028207661,0.28356658218965175,0,0
current,deepseek|mmlu,deepseek,mmlu,english_vs_chinese,True,2000,149,0.0745,0.8322147651006712,0.4161073825503356,english,1.0,40.385,21.64,0.6513779463163637,0.3027558926327273,0.2871143479316037,-0.03884097756324803,0,0
current,deepseek|mmlu,deepseek,mmlu,english_vs_japanese,True,2000,174,0.087,0.8620689655172413,0.43103448275862066,english,1.0,49.855,25.06,0.6655139966203852,0.3310279932407704,0.5331739845936001,0.29456918106032304,0,0
current,deepseek|mmlu,deepseek,mmlu,english_vs_russian,True,2000,157,0.0785,0.8726114649681529,0.43630573248407645,english,1.0,46.17,22.18,0.6755741925565971,0.35114838511319413,0.3879960693797312,0.04234625607411469,0,0
current,deepseek|mmlu,deepseek,mmlu,english_vs_spanish,True,2000,143,0.0715,0.8391608391608392,0.4195804195804196,english,1.0,36.95,23.075,0.615179028799056,0.23035805759811176,0.33175452154279506,0.12015263306146977,0,0
current,deepseek|mmlu,deepseek,mmlu,japanese_vs_russian,False,2000,183,0.0915,0.825136612021858,0.412568306010929,russian,0.51,35.22,40.365,0.46598796408425985,-0.06802407183148022,0.4098446903787187,0.4459015485162463,0,0
current,deepseek|mmlu,deepseek,mmlu,japanese_vs_spanish,False,2000,180,0.09,0.8555555555555555,0.42777777777777776,spanish,0.985,43.61,33.5,0.5665694460615255,0.13313889212305113,0.3570412946868868,0.25226239035280784,0,0
current,deepseek|mmlu,deepseek,mmlu,russian_vs_spanish,False,2000,160,0.08,0.88125,0.440625,spanish,0.95,39.015,31.31,0.5554386587371076,0.1108773174742153,0.3095353023944679,0.20987514988041298,0,0
current,deepseek|truthfulqa,deepseek,truthfulqa,chinese_vs_japanese,False,817,102,0.12484700122399021,0.8725490196078431,0.4362745098039216,chinese,0.73,21.465,23.325,0.4791033596329514,-0.04179328073409717,0.441552034839377,0.45770493257107836,0,0
current,deepseek|truthfulqa,deepseek,truthfulqa,chinese_vs_russian,False,817,111,0.13586291309669524,0.8378378378378378,0.4189189189189189,chinese,0.97,27.235,19.285,0.5851976532582752,0.17039530651655035,0.33616186681610644,0.1790674112287654,0,0
current,deepseek|truthfulqa,deepseek,truthfulqa,chinese_vs_spanish,False,817,96,0.1175030599755202,0.7708333333333334,0.3854166666666667,chinese,0.98,23.655,13.37,0.6394482045776702,0.2788964091553403,0.44512637563505975,0.19982493157801506,0,0
