condition,model,dataset,strategy,n,correct,accuracy,empty_myanswer,n_debate,n_no_debate,debate_rate,n_disagree,c_recoverable,acc_debate,recovery,acc_no_debate,file,m,anchor,anchor_rate,n_A_H2,n_B_H2,w_A_H2,recovery_blind_H2,recovery_H2,skill_H2,reps_undefined,reps_skill_undefined
challenge_CN,Deepseek,CommenseQA,Challenge,6000,4408,0.7346666666666667,1,850,5150,0.14166666666666666,850,0.7729411764705882,0.4541176470588235,0.17503805175038045,0.7809708737864077,Deepseek_CommenseQA_Challenge.json,0.3864705882352941,agent2,0.655,159.645,167.975,0.4873021825359088,-0.02539563492818232,0.17156687548485702,0.19118907784877778,0,0
challenge_CN,GPT 4.1 mini,CommenseQA,Challenge,6000,4268,0.7113333333333334,0,1092,4908,0.182,1092,0.7683150183150184,0.4716117216117216,0.22765196662693676,0.7646699266503667,GPT 4.1 mini_CommenseQA_Challenge.json,0.3841575091575092,agent2,0.635,204.195,214.135,0.4881280877628899,-0.023743824474220167,0.22006668763195003,0.2375779084144633,0,0
challenge_CN,QWEN 3-8b,CommenseQA,Challenge,6000,3821,0.6368333333333334,1,1427,4573,0.23783333333333334,1427,0.7168885774351786,0.4505956552207428,0.2570869990224829,0.6949486114148261,QWEN 3-8b_CommenseQA_Challenge.json,0.3584442887175893,agent1,0.955,266.105,244.675,0.5210242702080514,0.04204854041610272,0.2585056891660688,0.22477692021925577,0,0
challenge_CN,Deepseek,MMLU,Challenge,5938,5213,0.8779050185247558,1,469,5469,0.07898282249915796,469,0.837953091684435,0.5415778251599147,0.2926208651399491,0.9067471201316512,Deepseek_MMLU_Challenge.json,0.4189765458422175,agent2,0.79,97.13,98.885,0.4956292116052903,-0.008741576789419307,0.2964206473596137,0.29974568244798433,0,0
challenge_CN,GPT 4.1 mini,MMLU,Challenge,5938,5045,0.8496126641966992,0,653,5285,0.10996968676321994,653,0.8085758039816233,0.5405819295558959,0.33712121212121215,0.8877956480605487,GPT 4.1 mini_MMLU_Challenge.json,0.40428790199081166,agent1,0.995,146.4,117.025,0.5557302022801626,0.11146040456032519,0.3341961396778744,0.24901606968232606,0,0
challenge_CN,QWEN 3-8b,MMLU,Challenge,5938,4403,0.7414954530144829,6,1058,4880,0.17817446951835636,1058,0.7665406427221172,0.5,0.30456226880394577,0.7938524590163935,QWEN 3-8b_MMLU_Challenge.json,0.3832703213610586,agent1,0.935,209.235,196.805,0.5152609133085087,0.030521826617017266,0.3068215046737585,0.28350907579222495,0,0
challenge_CN,Deepseek,MathQA,Challenge,2985,2710,0.9078726968174204,7,163,2822,0.05460636515912898,163,0.6687116564417178,0.4723926380368098,0.4128440366972477,0.9330262225372077,Deepseek_MathQA_Challenge.json,0.3343558282208589,agent2,0.5800000000000001,25.635,29.365,0.46587501074651205,-0.0682499785069758,0.4102736243212198,0.4458952056235587,0,0
challenge_CN,GPT 4.1 mini,MathQA,Challenge,2985,2663,0.8921273031825796,0,225,2760,0.07537688442211055,225,0.6888888888888889,0.52,0.5096774193548388,0.922463768115942,GPT 4.1 mini_MathQA_Challenge.json,0.34444444444444444,agent2,0.585,36.285,40.81,0.4705185014131399,-0.05896299717372025,0.5078442538923253,0.5341883352628648,0,0
challenge_CN,QWEN 3-8b,MathQA,Challenge,2985,2442,0.8180904522613065,3,530,2455,0.17755443886097153,530,0.7245283018867924,0.569811320754717,0.5729166666666667,0.8716904276985743,QWEN 3-8b_MathQA_Challenge.json,0.3622641509433962,agent2,0.755,94.475,97.645,0.49172720890221405,-0.016545582195571867,0.5756869971500673,0.5814110012440892,0,0
challenge_CN,Deepseek,TruthfulQA,Challenge,817,713,0.8727050183598531,0,67,750,0.08200734394124846,67,0.8208955223880597,0.6417910447761194,0.5636363636363635,0.8933333333333333,Deepseek_TruthfulQA_Challenge.json,0.41044776119402987,agent2,0.55,12.54,15.41,0.44791238833691943,-0.10417522332616126,0.5585634371383237,0.5977340584467132,0,0
