cell,recovery,n_R,se
challenge_CN|Deepseek|CommenseQA,0.1750380517503804,657,0.038411409082469344
challenge_CN|GPT 4.1 mini|CommenseQA,0.2276519666269367,839,0.03361732664688049
challenge_CN|QWEN 3-8b|CommenseQA,0.2570869990224829,1023,0.03021438994355838
challenge_CN|Deepseek|MMLU,0.2926208651399491,393,0.04823534937654883
challenge_CN|GPT 4.1 mini|MMLU,0.3371212121212121,528,0.04097184196461445
challenge_CN|QWEN 3-8b|MMLU,0.3045622688039457,811,0.03344653285950304
challenge_CN|Deepseek|MathQA,0.4128440366972477,109,0.08723898428731189
challenge_CN|GPT 4.1 mini|MathQA,0.5096774193548388,155,0.06910622623551937
challenge_CN|QWEN 3-8b|MathQA,0.5729166666666667,384,0.04182573261759849
challenge_CN|Deepseek|TruthfulQA,0.5636363636363635,55,0.11138092292886989
challenge_CN|GPT 4.1 mini|TruthfulQA,0.2941176470588234,51,0.13383446093988732
challenge_CN|QWEN 3-8b|TruthfulQA,0.2621359223300969,103,0.09508732615027735
challenge_EN|Deepseek|CommenseQA,0.2904761904761905,420,0.04669107141032324
challenge_EN|GPT 4.1 mini|CommenseQA,0.2846347607052897,397,0.048112563570187374
challenge_EN|QWEN 3-8b|CommenseQA,0.1590909090909091,352,0.052621344686391826
challenge_EN|Deepseek|MMLU,0.3658536585365854,205,0.06500097937481293
challenge_EN|GPT 4.1 mini|MMLU,0.359375,256,0.05832457703765278
challenge_EN|QWEN 3-8b|MMLU,0.261780104712042,382,0.0493802209586915
challenge_EN|Deepseek|MathQA,0.3636363636363635,88,0.09930260198923899
challenge_EN|GPT 4.1 mini|MathQA,0.3157894736842104,114,0.08886600440868032
challenge_EN|QWEN 3-8b|MathQA,0.5076923076923077,260,0.053430347207659025
challenge_EN|Deepseek|TruthfulQA,0.32,50,0.1339850737955538
challenge_EN|GPT 4.1 mini|TruthfulQA,0.3023255813953487,43,0.14536235740255138
challenge_EN|QWEN 3-8b|TruthfulQA,0.3898305084745763,59,0.11988922674366585
